1,FRAUD-26A-1,FRAUD - FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,2023-10-23,1109,2100 GREENKEEPERS CT,RESTON,VA,20191
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-10-23,1022, AMERICANA DR / PATRIOT DR,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1041,5900 CAMBERLY AVE,SPRINGFIELD,VA,22150
1,SERV-37,SERVICE - MISSING JUVENILE,2023-10-23,1020,9400 ROUTE 29,FAIRFAX,VA,22031
1,SERV-1,SERVICE - POLICE SERVICE,2023-10-23,1043,4000 FIELDING ST,ALEXANDRIA,VA,22309
1,SUSP-2,SUSPICIOUS - PERSON,2023-10-23,1141,9500 MAIN ST,FAIRFAX,VA,22032
2,SERV-45,SRO RELATED EVENT,2023-10-23,1141,9500 MAIN ST,FAIRFAX,VA,22032
1,SUSP-2,SUSPICIOUS - PERSON,2023-10-23,0957,10600 BRADDOCK RD,FAIRFAX,VA,22032
1,SERV-6,SERVICE - ANIMAL DESTROYED BY SERVICE WEAPON,2023-10-23,1122,1500 KINGSTREAM CIR,HERNDON,VA,20170
2,ANML-4,ANIMAL - SERVICE - WILD,2023-10-23,1122,1500 KINGSTREAM CIR,HERNDON,VA,20170
1,FRAUD-26C-1,FRAUD - IMPERSONATION,2023-10-23,1219,6000 DINWIDDIE ST,SPRINGFIELD,VA,22150
1,SERV-1,SERVICE - POLICE SERVICE,2023-10-23,1144,2200 ARLINGTON TER,ALEXANDRIA,VA,22303
1,ABDCT-100-1,ABDUCTION - KIDNAPPING/ABDUCTION,2023-10-23,1126,2300 FREETOWN CT,RESTON,VA,20191
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1204,6400 MONTROSE ST,ALEXANDRIA,VA,22312
2,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-10-23,1204,6400 MONTROSE ST,ALEXANDRIA,VA,22312
1,SEX-90Z-2,SEX - OTHER NON-FORCIBLE SEX VIOLATION,2023-10-23,1147,11700 SUNRISE VALLEY DR,RESTON,VA,20191
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-10-23,1212,10000 RICHMOND HWY,LORTON,VA,22079
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-10-23,1217,2300 PIMMIT DR,FALLS CHURCH,VA,22043
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1047,1700 VANPORT ST,ALEXANDRIA,VA,22303
2,SERV-45,SRO RELATED EVENT,2023-10-23,1047,1700 VANPORT ST,ALEXANDRIA,VA,22303
1,SERV-1,SERVICE - POLICE SERVICE,2023-10-23,1218,5900 FORT DR,CENTREVILLE,VA,20121
1,SEX-90Z-2,SEX - OTHER NON-FORCIBLE SEX VIOLATION,2023-10-23,1234,6700 ARLINGTON BLVD,FALLS CHURCH,VA,22042
1,FRAUD-26C-1,FRAUD - IMPERSONATION,2023-10-23,1306,5700 HERITAGE HILL DR,ALEXANDRIA,VA,22310
1,SERV-1,SERVICE - POLICE SERVICE,2023-10-23,1128,7000 RHODEN CT,SPRINGFIELD,VA,22151
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-10-23,1234,8600 WALUTES CIR,ALEXANDRIA,VA,22309
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-10-23,1130,6400 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1241,6800 BRADDOCK RD,ANNANDALE,VA,22003
1,SERV-6,SERVICE - ANIMAL DESTROYED BY SERVICE WEAPON,2023-10-23,1304,2300 SAINT BEDES CT,RESTON,VA,20191
2,ANML-4,ANIMAL - SERVICE - WILD,2023-10-23,1304,2300 SAINT BEDES CT,RESTON,VA,20191
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1245,1900 CHAIN BRIDGE RD,MCLEAN,VA,22102
1,EXTOR-210-1,EXTORTION/BLACKMAIL,2023-10-23,1226,12200 HEATHER DOWN DR,HERNDON,VA,20190
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1221,1900 CHAIN BRIDGE RD,MCLEAN,VA,22102
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1319,2000 INTERNATIONAL DR,MCLEAN,VA,22102
1,SUSP-2,SUSPICIOUS - PERSON,2023-10-23,1328,13000 DUNHILL DR,FAIRFAX,VA,22030
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1353,6600 SPRINGFIELD MALL,SPRINGFIELD,VA,22150
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2023-10-23,1336,6300 RICHMOND HWY,ALEXANDRIA,VA,22306
1,FRAUD-26C-1,FRAUD - IMPERSONATION,2023-10-23,1427,6800 MUSKETT WAY,CENTREVILLE,VA,20121
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-10-23,1400,12100 SUNSET HILLS RD,RESTON,VA,20190
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1344,4300 GUINEA RD,ANNANDALE,VA,22003
1,PARK-90Z-1,PARKING - INOPERATIVE/ABANDONED VEHICLE,2023-10-23,1431,6400 TELEGRAPH RD,ALEXANDRIA,VA,22310
1,FRAUD-26C-1,FRAUD - IMPERSONATION,2023-10-23,1443,3800 STEPPES CT,FALLS CHURCH,VA,22041
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,2023-10-23,1353,3200 WEST OX RD,HERNDON,VA,20171
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,2023-10-23,1353,3200 WEST OX RD,HERNDON,VA,20171
1,ASSLT-13C-5,THREATS - IN WRITING,2023-10-23,1415,2500 PARKERS LN,ALEXANDRIA,VA,22306
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-10-23,1431,1600 RESTON PKWY,RESTON,VA,20190
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,2023-10-23,1448, ENOCHS DR / MOUNT AIR DR,LORTON,VA,22079
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1400,5900 KINGSTOWNE TOWNE CTR,ALEXANDRIA,VA,22315
1,SERV-6,SERVICE - ANIMAL DESTROYED BY SERVICE WEAPON,2023-10-23,1443,1600 CAPITAL ONE DR,MCLEAN,VA,22102
2,ANML-4,ANIMAL - SERVICE - WILD,2023-10-23,1443,1600 CAPITAL ONE DR,MCLEAN,VA,22102
